Role,PolicyPct,dTIR_mean,CI_low,CI_high
child,90,-2.249228395061734,-7.193672839506178,0.9190200617283845
child,80,-6.583333333333337,-13.069521604938274,-0.23842592592592618
child,70,-13.979938271604944,-21.422935956790127,-5.925636574074085
child,60,-23.183641975308646,-30.697762345679017,-15.089988425925933
adolescent,90,-1.0999999999999992,-2.069444444444435,-0.2110763888888848
adolescent,80,-5.047222222222221,-9.65708333333334,-1.3867534722222203
adolescent,70,-12.356944444444443,-21.636302083333334,-4.579166666666666
adolescent,60,-22.634722222222223,-36.00977430555556,-10.994340277777779
adult,90,-2.013888888888895,-4.82725694444445,0.4583680555555434
adult,80,-11.70763888888889,-22.73663194444444,-1.6853993055555554
adult,70,-22.480555555555558,-40.83611111111111,-6.19003472222224
adult,60,-30.96875,-52.49060763888888,-11.613576388888884
