PolicyPercent,Feature,SpearmanRho,P
90,Pre_TBR,0.5441556883250709,0.0022770302437361938
90,Pre_TIR,-0.43626062653856973,0.01798574374156795
90,Pre_LBGI,0.5461263743850984,0.002178447257869341
90,Pre_CV,0.4148294156357715,0.02524923332827788
80,Pre_TBR,0.5413793103448274,0.0024224396244706564
80,Pre_TIR,-0.49458128078817726,0.006384567892651842
80,Pre_LBGI,0.5497536945812806,0.0020066009554000988
80,Pre_CV,0.4275862068965517,0.020684131644173966
70,Pre_TBR,0.5118226600985221,0.004538016875391884
70,Pre_TIR,-0.5522167487684727,0.001896709269069671
70,Pre_LBGI,0.5413793103448274,0.0024224396244706564
70,Pre_CV,0.4561576354679802,0.012878881602553391
60,Pre_TBR,0.39704433497536934,0.03295371190947651
60,Pre_TIR,-0.49261083743842354,0.006631347005938983
60,Pre_LBGI,0.4364532019704433,0.01792931056427081
60,Pre_CV,0.38965517241379305,0.03666711563993922
