PolicyPercent,Metric,Mean,SD,CI95Low,CI95High
100,RescueCorrections,6.344827586206897,10.837355575142348,2.8272988505747123,10.517241379310345
90,RescueCorrections,8.609195402298852,11.499851263881924,4.769827586206896,12.931034482758621
80,RescueCorrections,12.827586206896553,13.578876186537926,8.057471264367816,17.75862068965517
70,RescueCorrections,17.816091954022987,17.22368851571813,11.792816091954021,24.11494252873563
60,RescueCorrections,26.839080459770113,24.224580965081135,18.597701149425284,35.98850574712643
100,TAR,13.350095785440613,10.216430242945762,9.846090756704982,17.122701149425282
90,TAR,16.883700510855682,10.693658739503993,13.151931673052362,20.760059466794377
80,TAR,24.203384418901663,12.685032236979735,19.60745130906769,28.790030332056187
70,TAR,33.44021392081737,18.212798575200722,27.146747286079183,40.033928001277125
60,TAR,43.17688378033206,21.89775650606014,35.73186063218391,51.109143518518515
100,TBR,4.760696040868454,4.509497652647219,3.258698515325671,6.42967951787995
90,TBR,3.1475893997445716,3.658406275552309,1.9247944604086846,4.549265644955299
80,TBR,1.9177043422733075,2.7487130355299385,1.0394216954022986,2.999451229246487
70,TBR,1.1093550446998723,1.874858396488891,0.5070242656449554,1.8515345625798214
60,TBR,0.707934227330779,1.3054583785233016,0.29397749042145593,1.209135536398467
100,TBR_<54,1.1522988505747125,2.0038055453372956,0.55595466155811,1.9581736909323109
90,TBR_<54,0.6325830140485313,1.284859986022475,0.27155172413793105,1.1627554278416345
80,TBR_<54,0.3113825031928481,0.6665594774990409,0.11972980523627078,0.5823834610472535
70,TBR_<54,0.13577586206896552,0.27426772327882504,0.05132503192848021,0.24792664431673034
60,TBR_<54,0.07231800766283525,0.14327116310503063,0.026899744572158366,0.12723499361430396
100,TIR,81.88920817369092,12.642104762989248,77.1876097541507,86.20931912515965
90,TIR,79.96871008939974,12.486565011155351,75.33934786079182,84.27770593869731
80,TIR,73.87891123882504,13.216302515588591,69.13780332056194,78.60481521392082
70,TIR,65.45043103448276,18.130427435705133,58.8538134578544,71.77179916985952
60,TIR,56.11518199233718,21.774657572350666,48.23780132503191,63.544701867816066
