Metric,Comparison,N,MeanDifference,CI95Low,CI95High,RawP,AdjustedP
TIR,90% minus 100%,28,-2.2779844576719555,-4.356209697420635,-0.6928302744708996,0.004954975225123875,0.00990995045024775
TIR,80% minus 100%,28,-8.758391203703706,-13.478903149801587,-4.47719080687831,0.00019499902500487497,0.0005849970750146249
TIR,70% minus 100%,28,-18.003306878306876,-25.638671874999996,-11.131254133597881,4.9999750001249995e-06,2.9999850000749997e-05
TIR,60% minus 100%,28,-27.181588955026456,-36.169810267857144,-18.875896990740745,4.9999750001249995e-06,2.9999850000749997e-05
TIR,Fasting-window 80% minus 100%,28,-7.838210978835976,-11.721942170965606,-4.227798445767201,0.00013499932500337497,0.0005399973000134999
TIR,Fasting-window 80% minus full-day 80%,28,0.9201802248677262,-0.7032986111111073,2.8485677083333285,0.3477082614586927,0.3477082614586927
TBR,90% minus 100%,28,-1.6103257275132274,-2.0243076223544976,-1.2186590608465615,4.9999750001249995e-06,2.9999850000749997e-05
TBR,80% minus 100%,28,-2.8148974867724865,-3.577013062169313,-2.077942088293652,4.9999750001249995e-06,2.9999850000749997e-05
TBR,70% minus 100%,28,-3.604414682539683,-4.652697172619048,-2.62110408399471,4.9999750001249995e-06,2.9999850000749997e-05
TBR,60% minus 100%,28,-4.126860119047619,-5.423777488425926,-2.937688078703705,4.9999750001249995e-06,2.9999850000749997e-05
TBR,Fasting-window 80% minus 100%,28,-1.7073826058201058,-2.3170118220899467,-1.1638496197089951,4.9999750001249995e-06,2.9999850000749997e-05
TBR,Fasting-window 80% minus full-day 80%,28,1.107514880952381,0.8119181960978837,1.4043909143518518,4.9999750001249995e-06,2.9999850000749997e-05
TBR_<54,90% minus 100%,28,-0.5370783730158731,-0.8180400545634919,-0.30437541335979024,1.9999900000499998e-05,2.9999850000749997e-05
TBR_<54,80% minus 100%,28,-0.9722222222222223,-1.4934792493386242,-0.5654761904761905,4.9999750001249995e-06,2.9999850000749997e-05
TBR_<54,70% minus 100%,28,-1.1917576058201058,-1.86136326058201,-0.6769923941798949,4.9999750001249995e-06,2.9999850000749997e-05
TBR_<54,60% minus 100%,28,-1.3531746031746033,-2.082020916005291,-0.7643704530423293,4.9999750001249995e-06,2.9999850000749997e-05
TBR_<54,Fasting-window 80% minus 100%,28,-0.6279348544973545,-1.0154637896825394,-0.3258897569444447,9.999950000249999e-06,2.9999850000749997e-05
TBR_<54,Fasting-window 80% minus full-day 80%,28,0.3442873677248676,0.20279224537037038,0.5071118551587299,4.9999750001249995e-06,2.9999850000749997e-05
TAR,90% minus 100%,28,3.8883101851851856,2.4341373181216928,5.826565600198409,4.9999750001249995e-06,2.9999850000749997e-05
TAR,80% minus 100%,28,11.573288690476192,7.576301049933862,16.08639219576719,4.9999750001249995e-06,2.9999850000749997e-05
TAR,70% minus 100%,28,21.607721560846564,15.141422784391535,28.83862227182538,4.9999750001249995e-06,2.9999850000749997e-05
TAR,60% minus 100%,28,31.308449074074076,23.542288773148154,39.6083416005291,4.9999750001249995e-06,2.9999850000749997e-05
TAR,Fasting-window 80% minus 100%,28,9.545593584656086,6.202181506283068,13.125708912037028,4.9999750001249995e-06,2.9999850000749997e-05
TAR,Fasting-window 80% minus full-day 80%,28,-2.0276951058201065,-3.786793154761906,-0.561995701058201,0.011029944850275749,0.011029944850275749
RescueCorrections,90% minus 100%,28,2.3154761904761902,0.9226190476190476,4.053571428571429,0.0002599987000065,0.000519997400013
RescueCorrections,80% minus 100%,28,6.702380952380953,3.482142857142857,10.393005952380939,1.4999925000374999e-05,5.9999700001499995e-05
RescueCorrections,70% minus 100%,28,12.226190476190478,6.863095238095239,18.4702380952381,4.9999750001249995e-06,2.9999850000749997e-05
RescueCorrections,60% minus 100%,28,22.017857142857146,13.601190476190478,32.047916666666644,4.9999750001249995e-06,2.9999850000749997e-05
RescueCorrections,Fasting-window 80% minus 100%,28,6.2142857142857135,3.3095238095238098,9.535714285714286,1.4999925000374999e-05,5.9999700001499995e-05
RescueCorrections,Fasting-window 80% minus full-day 80%,28,-0.488095238095238,-1.1547619047619047,0.05357142857142854,0.142919285403573,0.142919285403573
