Scenario,Policy,N,SpearmanRho,P
1,90%,27,0.3925518925518926,0.042829798707248345
1,80%,27,0.531135531135531,0.004362680704816255
1,70%,27,0.5146520146520146,0.006020225183833238
1,60%,27,0.5115995115995117,0.006379241807972021
1,Fasting-window 80%,27,0.3705738705738706,0.05706370948511218
2,90%,27,0.4688644688644688,0.01362637913031509
2,80%,27,0.48473748473748474,0.010391915487853629
2,70%,27,0.4023199023199023,0.03748578972701009
2,60%,27,0.3601953601953602,0.064954551588337
2,Fasting-window 80%,27,0.3327228327228327,0.08992864591140738
3,90%,28,0.3842364532019705,0.04351441292729121
3,80%,28,0.49589490968801314,0.007282378671377062
3,70%,28,0.4477285166940339,0.0168874666584397
3,60%,28,0.3552271483305966,0.06359469338110056
3,Fasting-window 80%,28,0.3918992884510125,0.03915833230769831
